#tab, d=300 nm, n=1
#nm  Qext    Qsca
671 3.51655 3.51655
672 3.49287 3.49287
673 3.46909 3.46909
674 3.44523 3.44523
675 3.42130 3.42130
676 3.39732 3.39732
677 3.37331 3.37331
678 3.34926 3.34926
679 3.32521 3.32521
680 3.30115 3.30115
681 3.27711 3.27711
682 3.25309 3.25309
683 3.22911 3.22911
684 3.20518 3.20518
685 3.18130 3.18130
686 3.15750 3.15750
687 3.13377 3.13377
688 3.11013 3.11013
689 3.08659 3.08659
690 3.06316 3.06316
691 3.03984 3.03984
692 3.01664 3.01664
693 2.99356 2.99356
694 2.97063 2.97063
695 2.94784 2.94784
696 2.92520 2.92520
697 2.90271 2.90271
698 2.88038 2.88038
699 2.85821 2.85821
700 2.83622 2.83622
701 2.81440 2.81440
702 2.79276 2.79276
703 2.77129 2.77129
704 2.75002 2.75002
705 2.72893 2.72893
706 2.70803 2.70803
707 2.68732 2.68732
708 2.66681 2.66681
709 2.64649 2.64649
710 2.62637 2.62637
711 2.60645 2.60645
712 2.58673 2.58673
713 2.56721 2.56721
714 2.54790 2.54790
715 2.52878 2.52878
716 2.50987 2.50987
717 2.49116 2.49116
718 2.47265 2.47265
719 2.45435 2.45435
720 2.43624 2.43624
721 2.41834 2.41834
722 2.40064 2.40064
723 2.38313 2.38313
724 2.36583 2.36583
725 2.34872 2.34872
726 2.33181 2.33181
727 2.31509 2.31509
728 2.29856 2.29856
729 2.28223 2.28223
730 2.26609 2.26609
731 2.25013 2.25013
732 2.23436 2.23436
733 2.21878 2.21878
734 2.20338 2.20338
735 2.18816 2.18816
736 2.17312 2.17312
737 2.15826 2.15826
738 2.14357 2.14357
739 2.12906 2.12906
740 2.11472 2.11472
741 2.10054 2.10054
742 2.08654 2.08654
743 2.07270 2.07270
744 2.05902 2.05902
745 2.04550 2.04550
746 2.03214 2.03214
747 2.01894 2.01894
748 2.00589 2.00589
749 1.99299 1.99299
750 1.98024 1.98024
751 1.96764 1.96764
752 1.95519 1.95519
753 1.94288 1.94288
754 1.93071 1.93071
755 1.91868 1.91868
756 1.90678 1.90678
757 1.89503 1.89503
758 1.88340 1.88340
759 1.87191 1.87191
760 1.86054 1.86054
761 1.84930 1.84930
762 1.83819 1.83819
763 1.82719 1.82719
764 1.81632 1.81632
765 1.80557 1.80557
766 1.79494 1.79494
767 1.78442 1.78442
768 1.77401 1.77401
769 1.76372 1.76372
770 1.75353 1.75353
771 1.74346 1.74346
772 1.73349 1.73349
773 1.72362 1.72362
774 1.71386 1.71386
775 1.70419 1.70419
776 1.69463 1.69463
777 1.68516 1.68516
778 1.67579 1.67579
779 1.66652 1.66652
780 1.65734 1.65734
781 1.64825 1.64825
782 1.63925 1.63925
783 1.63033 1.63033
784 1.62151 1.62151
785 1.61277 1.61277
786 1.60411 1.60411
787 1.59554 1.59554
788 1.58705 1.58705
789 1.57864 1.57864
790 1.57031 1.57031
791 1.56205 1.56205
792 1.55387 1.55387
793 1.54577 1.54577
794 1.53774 1.53774
795 1.52978 1.52978
796 1.52190 1.52190
797 1.51408 1.51408
798 1.50634 1.50634
799 1.49866 1.49866
800 1.49105 1.49105
801 1.48350 1.48350
802 1.47602 1.47602
803 1.46860 1.46860
804 1.46125 1.46125
805 1.45396 1.45396
806 1.44673 1.44673
807 1.43956 1.43956
808 1.43245 1.43245
809 1.42539 1.42539
810 1.41840 1.41840
811 1.41146 1.41146
812 1.40457 1.40457
813 1.39774 1.39774
814 1.39097 1.39097
815 1.38424 1.38424
816 1.37757 1.37757
817 1.37096 1.37096
818 1.36439 1.36439
819 1.35787 1.35787
820 1.35140 1.35140
821 1.34498 1.34498
822 1.33861 1.33861
823 1.33228 1.33228
824 1.32600 1.32600
825 1.31977 1.31977
826 1.31358 1.31358
827 1.30744 1.30744
828 1.30134 1.30134
829 1.29529 1.29529
830 1.28927 1.28927
831 1.28330 1.28330
832 1.27737 1.27737
833 1.27148 1.27148
834 1.26564 1.26564
835 1.25983 1.25983
836 1.25406 1.25406
837 1.24833 1.24833
838 1.24264 1.24264
839 1.23699 1.23699
840 1.23137 1.23137
841 1.22579 1.22579
842 1.22025 1.22025
843 1.21475 1.21475
844 1.20928 1.20928
845 1.20384 1.20384
846 1.19844 1.19844
847 1.19307 1.19307
848 1.18774 1.18774
849 1.18244 1.18244
850 1.17718 1.17718
851 1.17194 1.17194
852 1.16674 1.16674
853 1.16157 1.16157
854 1.15644 1.15644
855 1.15133 1.15133
856 1.14626 1.14626
857 1.14121 1.14121
858 1.13620 1.13620
859 1.13121 1.13121
860 1.12626 1.12626
861 1.12133 1.12133
862 1.11643 1.11643
863 1.11157 1.11157
864 1.10673 1.10673
865 1.10191 1.10191
866 1.09713 1.09713
867 1.09237 1.09237
868 1.08764 1.08764
869 1.08294 1.08294
870 1.07826 1.07826
871 1.07361 1.07361
872 1.06899 1.06899
873 1.06439 1.06439
874 1.05982 1.05982
875 1.05527 1.05527
876 1.05075 1.05075
877 1.04625 1.04625
878 1.04178 1.04178
879 1.03733 1.03733
880 1.03290 1.03290
881 1.02850 1.02850
882 1.02412 1.02412
883 1.01977 1.01977
884 1.01544 1.01544
885 1.01113 1.01113
886 1.00685 1.00685
887 1.00259 1.00259
888 0.99835 0.99835
889 0.99413 0.99413
890 0.98994 0.98994
891 0.98576 0.98576
892 0.98161 0.98161
893 0.97748 0.97748
894 0.97337 0.97337
895 0.96929 0.96929
896 0.96522 0.96522
897 0.96117 0.96117
898 0.95715 0.95715
899 0.95314 0.95314
900 0.94916 0.94916
901 0.94520 0.94520
902 0.94125 0.94125
903 0.93733 0.93733
904 0.93342 0.93342
905 0.92954 0.92954
906 0.92567 0.92567
907 0.92183 0.92183
908 0.91800 0.91800
909 0.91419 0.91419
910 0.91041 0.91041
911 0.90663 0.90663
912 0.90288 0.90288
913 0.89915 0.89915
914 0.89544 0.89544
915 0.89174 0.89174
916 0.88806 0.88806
917 0.88440 0.88440
918 0.88076 0.88076
919 0.87713 0.87713
920 0.87352 0.87352
921 0.86993 0.86993
922 0.86636 0.86636
923 0.86280 0.86280
924 0.85927 0.85927
925 0.85574 0.85574
926 0.85224 0.85224
927 0.84875 0.84875
928 0.84528 0.84528
929 0.84183 0.84183
930 0.83839 0.83839
931 0.83497 0.83497
932 0.83156 0.83156
933 0.82817 0.82817
934 0.82480 0.82480
935 0.82144 0.82144
936 0.81810 0.81810
937 0.81477 0.81477
938 0.81146 0.81146
939 0.80817 0.80817
940 0.80489 0.80489
941 0.80163 0.80163
942 0.79838 0.79838
943 0.79514 0.79514
944 0.79193 0.79193
945 0.78872 0.78872
946 0.78553 0.78553
947 0.78236 0.78236
948 0.77920 0.77920
949 0.77606 0.77606
950 0.77293 0.77293
951 0.76981 0.76981
952 0.76671 0.76671
953 0.76363 0.76363
954 0.76056 0.76056
955 0.75750 0.75750
956 0.75445 0.75445
957 0.75142 0.75142
958 0.74841 0.74841
959 0.74541 0.74541
960 0.74242 0.74242
961 0.73945 0.73945
962 0.73648 0.73648
963 0.73354 0.73354
964 0.73060 0.73060
965 0.72768 0.72768
966 0.72478 0.72478
967 0.72188 0.72188
968 0.71900 0.71900
969 0.71614 0.71614
970 0.71328 0.71328
971 0.71044 0.71044
972 0.70761 0.70761
973 0.70480 0.70480
974 0.70199 0.70199
975 0.69920 0.69920
976 0.69643 0.69643
977 0.69366 0.69366
978 0.69091 0.69091
979 0.68817 0.68817
980 0.68544 0.68544
981 0.68273 0.68273
982 0.68003 0.68003
983 0.67734 0.67734
984 0.67466 0.67466
985 0.67199 0.67199
986 0.66934 0.66934
987 0.66670 0.66670
988 0.66407 0.66407
989 0.66145 0.66145
990 0.65884 0.65884
991 0.65625 0.65625
992 0.65366 0.65366
993 0.65109 0.65109
994 0.64853 0.64853
995 0.64598 0.64598
996 0.64345 0.64345
997 0.64092 0.64092
998 0.63841 0.63841
999 0.63590 0.63590
1000 0.63341 0.63341
