#AuJC, d=50 nm, n=1
#nm  Qext    Qsca
830 0.01242 0.00452
831 0.01235 0.00450
832 0.01228 0.00447
833 0.01222 0.00445
834 0.01215 0.00442
835 0.01209 0.00440
836 0.01202 0.00437
837 0.01196 0.00435
838 0.01189 0.00432
839 0.01183 0.00430
840 0.01177 0.00427
841 0.01170 0.00425
842 0.01164 0.00423
843 0.01158 0.00420
844 0.01151 0.00418
845 0.01145 0.00416
846 0.01139 0.00413
847 0.01133 0.00411
848 0.01127 0.00409
849 0.01121 0.00407
850 0.01115 0.00404
851 0.01109 0.00402
852 0.01103 0.00400
853 0.01097 0.00398
854 0.01091 0.00396
855 0.01085 0.00393
856 0.01080 0.00391
857 0.01074 0.00389
858 0.01068 0.00387
859 0.01063 0.00385
860 0.01057 0.00383
861 0.01052 0.00381
862 0.01046 0.00379
863 0.01041 0.00377
864 0.01035 0.00375
865 0.01030 0.00373
866 0.01025 0.00371
867 0.01020 0.00369
868 0.01015 0.00367
869 0.01010 0.00365
870 0.01005 0.00363
871 0.01000 0.00361
872 0.00995 0.00359
873 0.00990 0.00357
874 0.00986 0.00355
875 0.00981 0.00353
876 0.00976 0.00351
877 0.00972 0.00350
878 0.00968 0.00348
879 0.00963 0.00346
880 0.00959 0.00344
881 0.00955 0.00342
882 0.00950 0.00341
883 0.00946 0.00339
884 0.00942 0.00337
885 0.00938 0.00335
886 0.00934 0.00334
887 0.00931 0.00332
888 0.00927 0.00330
889 0.00923 0.00328
890 0.00920 0.00327
891 0.00916 0.00325
892 0.00913 0.00323
893 0.00909 0.00322
894 0.00906 0.00320
895 0.00903 0.00318
896 0.00899 0.00317
897 0.00896 0.00315
898 0.00893 0.00314
899 0.00890 0.00312
900 0.00887 0.00310
901 0.00884 0.00309
902 0.00881 0.00307
903 0.00878 0.00306
904 0.00875 0.00304
905 0.00872 0.00303
906 0.00870 0.00301
907 0.00867 0.00300
908 0.00864 0.00298
909 0.00861 0.00297
910 0.00859 0.00295
911 0.00856 0.00294
912 0.00854 0.00292
913 0.00851 0.00291
914 0.00849 0.00290
915 0.00846 0.00288
916 0.00844 0.00287
917 0.00841 0.00285
918 0.00839 0.00284
919 0.00837 0.00282
920 0.00834 0.00281
921 0.00832 0.00280
922 0.00830 0.00278
923 0.00828 0.00277
924 0.00825 0.00276
925 0.00823 0.00274
926 0.00821 0.00273
927 0.00819 0.00272
928 0.00817 0.00270
929 0.00815 0.00269
930 0.00813 0.00268
931 0.00811 0.00266
932 0.00809 0.00265
933 0.00807 0.00264
934 0.00805 0.00263
935 0.00803 0.00261
936 0.00801 0.00260
937 0.00799 0.00259
938 0.00797 0.00258
939 0.00795 0.00256
940 0.00793 0.00255
941 0.00791 0.00254
942 0.00789 0.00253
943 0.00787 0.00252
944 0.00785 0.00250
945 0.00783 0.00249
946 0.00781 0.00248
947 0.00780 0.00247
948 0.00778 0.00246
949 0.00776 0.00245
950 0.00774 0.00243
951 0.00772 0.00242
952 0.00770 0.00241
953 0.00769 0.00240
954 0.00767 0.00239
955 0.00765 0.00238
956 0.00763 0.00237
957 0.00761 0.00236
958 0.00760 0.00235
959 0.00758 0.00233
960 0.00756 0.00232
961 0.00754 0.00231
962 0.00752 0.00230
963 0.00751 0.00229
964 0.00749 0.00228
965 0.00747 0.00227
966 0.00745 0.00226
967 0.00744 0.00225
968 0.00742 0.00224
969 0.00740 0.00223
970 0.00738 0.00222
971 0.00736 0.00221
