#Si, d=150 nm, n=1
#nm  Qext    Qsca
815 0.28207 0.27735
816 0.28028 0.27557
817 0.27849 0.27382
818 0.27671 0.27207
819 0.27494 0.27035
820 0.27316 0.26864
821 0.27138 0.26694
822 0.26958 0.26526
823 0.26778 0.26360
824 0.26599 0.26195
825 0.26420 0.26031
826 0.26244 0.25869
827 0.26071 0.25708
828 0.25901 0.25548
829 0.25735 0.25390
830 0.25574 0.25233
831 0.25416 0.25078
832 0.25260 0.24923
833 0.25105 0.24770
834 0.24951 0.24618
835 0.24798 0.24468
836 0.24647 0.24319
837 0.24497 0.24171
838 0.24349 0.24024
839 0.24202 0.23879
840 0.24056 0.23735
841 0.23912 0.23592
842 0.23770 0.23451
843 0.23629 0.23311
844 0.23490 0.23172
845 0.23352 0.23034
846 0.23215 0.22898
847 0.23078 0.22763
848 0.22941 0.22628
849 0.22804 0.22495
850 0.22667 0.22363
851 0.22529 0.22232
852 0.22390 0.22101
853 0.22250 0.21972
854 0.22111 0.21844
855 0.21972 0.21717
856 0.21834 0.21591
857 0.21699 0.21465
858 0.21567 0.21341
859 0.21438 0.21218
860 0.21313 0.21096
861 0.21191 0.20975
862 0.21070 0.20856
863 0.20951 0.20737
864 0.20832 0.20619
865 0.20714 0.20502
866 0.20597 0.20386
867 0.20481 0.20271
868 0.20366 0.20157
869 0.20251 0.20043
870 0.20137 0.19930
871 0.20024 0.19818
872 0.19912 0.19707
873 0.19802 0.19596
874 0.19691 0.19485
875 0.19582 0.19376
876 0.19473 0.19267
877 0.19365 0.19160
878 0.19256 0.19053
879 0.19148 0.18947
880 0.19039 0.18842
881 0.18930 0.18738
882 0.18819 0.18635
883 0.18708 0.18532
884 0.18597 0.18431
885 0.18487 0.18330
886 0.18378 0.18230
887 0.18270 0.18131
888 0.18165 0.18032
889 0.18062 0.17935
890 0.17963 0.17837
891 0.17866 0.17741
892 0.17770 0.17645
893 0.17674 0.17550
894 0.17579 0.17455
895 0.17484 0.17361
896 0.17391 0.17268
897 0.17297 0.17175
898 0.17205 0.17083
899 0.17113 0.16992
900 0.17022 0.16902
901 0.16932 0.16812
902 0.16842 0.16722
903 0.16752 0.16633
904 0.16664 0.16545
905 0.16576 0.16458
906 0.16488 0.16371
907 0.16402 0.16284
908 0.16315 0.16199
909 0.16230 0.16114
910 0.16145 0.16029
911 0.16060 0.15945
912 0.15976 0.15861
913 0.15893 0.15779
914 0.15810 0.15696
915 0.15728 0.15614
916 0.15646 0.15533
917 0.15565 0.15452
918 0.15485 0.15372
919 0.15405 0.15293
920 0.15326 0.15214
921 0.15247 0.15136
922 0.15170 0.15059
923 0.15093 0.14982
924 0.15018 0.14905
925 0.14942 0.14829
926 0.14867 0.14754
927 0.14792 0.14679
928 0.14716 0.14605
929 0.14641 0.14531
930 0.14565 0.14457
931 0.14487 0.14384
932 0.14409 0.14311
933 0.14329 0.14239
934 0.14250 0.14167
935 0.14171 0.14095
936 0.14092 0.14024
937 0.14015 0.13953
938 0.13940 0.13883
939 0.13866 0.13813
940 0.13796 0.13744
941 0.13727 0.13676
942 0.13659 0.13608
943 0.13591 0.13540
944 0.13524 0.13473
945 0.13457 0.13407
946 0.13391 0.13340
947 0.13325 0.13275
948 0.13260 0.13209
949 0.13195 0.13145
950 0.13130 0.13080
951 0.13066 0.13016
952 0.13002 0.12952
953 0.12938 0.12889
954 0.12875 0.12826
955 0.12813 0.12763
956 0.12750 0.12701
957 0.12688 0.12640
958 0.12627 0.12578
959 0.12566 0.12517
960 0.12505 0.12457
961 0.12445 0.12396
962 0.12385 0.12337
963 0.12325 0.12277
964 0.12266 0.12218
965 0.12207 0.12159
966 0.12148 0.12101
967 0.12090 0.12043
968 0.12032 0.11985
969 0.11975 0.11928
970 0.11918 0.11871
971 0.11861 0.11814
972 0.11805 0.11758
973 0.11748 0.11702
974 0.11693 0.11647
975 0.11637 0.11591
976 0.11582 0.11536
977 0.11528 0.11482
978 0.11473 0.11428
979 0.11419 0.11374
980 0.11365 0.11320
981 0.11312 0.11267
982 0.11259 0.11214
983 0.11206 0.11161
984 0.11154 0.11109
985 0.11101 0.11057
986 0.11050 0.11005
987 0.10998 0.10954
988 0.10947 0.10903
989 0.10896 0.10852
990 0.10846 0.10802
991 0.10796 0.10752
992 0.10746 0.10702
993 0.10697 0.10653
994 0.10647 0.10604
995 0.10599 0.10555
996 0.10550 0.10507
997 0.10502 0.10459
998 0.10454 0.10411
999 0.10407 0.10364
1000 0.10359 0.10316
